time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-18T03:58:39.266Z,-23.1515,-66.3282,226.463,4.5,mwr,64,43,1.716,0.91,us,us7000k9al,2023-06-18T04:16:20.040Z,"66 km W of El Aguilar, Argentina",earthquake,7.9,7.235,,,reviewed,us,guc
2023-06-18T03:57:57.670Z,38.8185005,-122.8216629,2.67,1.49,md,25,48,0.01029,0.05,nc,nc73902361,2023-06-18T06:26:13.211Z,"7km NW of The Geysers, CA",earthquake,0.22,0.47,0.14,27,automatic,nc,nc
2023-06-18T03:53:35.940Z,44.5258333333333,-115.234,12.55,2.23,ml,10,93,0.6371,0.07,mb,mb90018718,2023-06-18T14:30:15.700Z,"41 km NW of Stanley, Idaho",earthquake,0.38,1,0.203968825780424,21,reviewed,mb,mb
2023-06-18T03:44:59.090Z,39.0893333,-123.0895,10.52,4.35,mw,92,64,0.04182,0.11,nc,nc73902356,2023-06-18T16:06:50.249Z,"8km SE of Talmage, CA",earthquake,0.13,0.35,,4,reviewed,nc,nc
2023-06-18T03:34:44.460Z,38.8358345,-122.7945023,2.21,0.76,md,13,58,0.004142,0.01,nc,nc73902346,2023-06-18T05:17:18.838Z,"6km WNW of Cobb, CA",earthquake,0.32,0.87,0.14,13,automatic,nc,nc
2023-06-18T03:33:45.857Z,62.2253,-151.1157,71,1.8,ml,,,,0.5,ak,ak0237rjt4ft,2023-06-18T03:35:48.765Z,"30 km NNE of Skwentna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-06-18T03:24:56.450Z,19.1611671447754,-155.50666809082,34.3499984741211,1.87,md,32,211,,0.140000001,hv,hv73454317,2023-06-18T03:28:04.130Z,"5 km SSW of Pāhala, Hawaii",earthquake,0.94,0.819999993,1.66999996,10,automatic,hv,hv
2023-06-18T03:20:01.040Z,38.7503319,-122.6988297,0,1.18,md,8,231,0.01782,0.04,nc,nc73902336,2023-06-18T04:51:15.683Z,"3km SSW of Anderson Springs, CA",earthquake,1.07,0.67,0.25,5,automatic,nc,nc
2023-06-18T03:19:47.150Z,38.7593346,-122.7061691,-0.06,1.13,md,8,188,0.01479,0.05,nc,nc73902331,2023-06-18T04:22:15.637Z,"2km SW of Anderson Springs, CA",earthquake,0.51,0.92,0.11,5,automatic,nc,nc
2023-06-18T03:12:38.447Z,62.4654,-151.204,79,0.9,ml,,,,0.38,ak,ak0237rjoltw,2023-06-18T03:14:26.194Z,"Central Alaska",earthquake,,0.8,,,automatic,ak,ak
